US1,US2,US3,US4,US5,US6,US7,US8,US9,US10,US11,US12,US13,US14,US15,US16,US17,US18,US19,US20,US21,US22,US23,US24,Class
-1.2875137286,-1.2970593087,0.9103908405,0.6480214788,1.5243502417,0.01943516,1.1663692605,-0.1703889826,-0.584850057,-0.1448078994,-0.6160492546,-0.3127959907,-0.303998701,-0.3002689215,-0.269186694,-0.5544592054,-0.5178265506,-0.469095692,-0.4840953183,-0.553063153,-0.659113001,-0.8487920066,-0.8634074282,-0.9991553331,Slight-Right-Turn
-1.2875137286,-1.2970593087,0.9103908405,0.6503126602,1.5243502417,0.01943516,1.1663692605,0.0869083603,-0.584850057,-0.1402201928,-0.6182199766,-0.3127959907,-0.3061306432,-0.2983664218,-0.269186694,-0.5553694812,-0.5178265506,-0.469095692,-0.4840953183,-0.5495589851,-0.659113001,-0.8487920066,-0.8610844532,-0.9991553331,Slight-Right-Turn
-1.2875137286,-1.2970593087,0.9103908405,0.635801845,1.5243502417,0.01943516,1.1663692605,0.0869083603,-0.5833761798,-0.1448078994,-0.6174964026,-0.3127959907,-0.3061306432,-0.3002689215,-0.269186694,-0.5544592054,-0.5178265506,-0.469095692,-0.4840953183,-0.5495589851,-0.659113001,-0.8487920066,-0.8587614782,-0.9991553331,Slight-Right-Turn
-1.2887593671,-1.2949318693,0.9103908405,0.6335106636,1.5243502417,0.01943516,1.1663692605,-0.1685897005,-0.5833761798,-0.1455725172,-0.5928948868,-0.3127959907,-0.3061306432,-0.3002689215,-0.269186694,-0.5544592054,-0.5178265506,-0.469095692,-0.4840953183,-0.5495589851,-0.659113001,-0.8487920066,-0.8603101282,-0.9991553331,Slight-Right-Turn
-1.2875137286,-1.2970593087,0.9111924857,0.635801845,1.5243502417,0.01943516,1.1663692605,0.0896072835,-0.5833761798,-0.1478663705,-0.6174964026,-0.3127959907,-0.3061306432,-0.3002689215,-0.269186694,-0.5553694812,-0.5178265506,-0.469095692,-0.4840953183,-0.5495589851,-0.659113001,-0.8487920066,-0.8626331032,-0.9991553331,Slight-Right-Turn
-1.2862680901,-1.2970593087,0.9111924857,0.635801845,1.5243502417,0.01943516,1.1663692605,0.0833097961,-0.5833761798,-0.1432786639,-0.6109842366,-0.3135964382,-0.3068412906,-0.2990005884,-0.269186694,-0.5581003084,-0.5178265506,-0.469095692,-0.4840953183,-0.552187111,-0.659113001,-0.8487920066,-0.8603101282,-0.9982861306,Slight-Right-Turn
-1.2850224516,1.8955181012,0.911994131,0.6350381179,1.5243502417,0.0202148414,-0.2285597446,-0.1748871879,-0.5863239342,-0.1486309883,-0.5950656087,-0.3151973332,-0.3082625853,-0.3021714212,-0.2686037513,-0.5590105842,-0.5188880374,-0.4702198855,-0.4840953183,-0.5478069012,-0.6568593259,-0.8475194874,-0.8603101282,-0.9965477255,Slight-Right-Turn
-1.2800398976,1.910410177,0.9152007119,0.6396204806,1.5243502417,0.0202148414,1.1663692605,0.0770123086,-0.58853475,-0.1486309883,-0.6160492546,-0.3183991233,-0.3111051749,-0.3053422541,-0.2715184645,-0.5526386539,-0.5199495242,-0.471344079,-0.4849689628,-0.5460548172,-0.6534788133,-0.8462469682,-0.8603101282,-0.9930709153,Slight-Right-Turn
-1.2713204281,1.9132467629,0.9184072928,0.6434391161,1.5243502417,0.0209945228,-0.2292671122,0.0716144623,-0.5914825044,-0.1532186949,-0.6102606626,-0.3240022558,-0.3160797067,-0.3091472535,-0.846882854,-0.5526386539,-0.5210110109,-0.471344079,-0.4858426074,-0.5425506493,-0.6489714633,-0.8430656701,-0.8525668782,-0.9878557,Sharp-Right-Turn
-1.2626009587,1.9111193235,0.9224155189,0.6472577517,1.5243502417,0.0225538857,1.1663692605,-0.1748871879,-0.5929563816,-0.156277166,-0.6232849945,-0.3296053884,-0.3210542385,-0.3135864195,-0.8521293378,-0.5571900327,-0.5241954712,-0.4724682725,-0.4893371856,-0.5381704394,-0.6444641132,-0.8398843721,-0.8471466032,-0.9817712822,Sharp-Right-Turn
